movie_id,title,genres,description
1,The Matrix,Action Sci-Fi,A computer hacker learns about the true nature of reality. This is a part of the larger story arc.
2,Inception,Action Adventure Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is a part of the larger story arc.
3,Interstellar,Adventure Drama Sci-Fi,A team of explorers travel through a wormhole in space to save humanity.
4,The Dark Knight,Action Crime Drama,A vigilante battles crime in a corrupt city while facing his ultimate nemesis.
5,The Matrix Reloaded,Action Sci-Fi,Neo continues his fight against the machines and uncovers deeper truths about the Matrix.
6,Avengers: Endgame,Action Adventure Sci-Fi,Earth's mightiest heroes assemble for one final battle to undo the damage caused by Thanos.
7,The Shawshank Redemption,Drama,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.
8,Avatar,Action Adventure Sci-Fi,A paraplegic Marine on an alien planet becomes torn between following orders and protecting the world he feels is his new home.
9,Parasite,Comedy Drama,A poor family schemes to become employed by a wealthy family and infiltrate their household.
10,The Lion King,Animation Adventure Drama,A young lion prince flees his kingdom after the death of his father only to learn the true meaning of responsibility.
11,Pulp Fiction,Crime Drama,A series of interconnected stories involving crime redemption and dark humor.
12,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy,An epic journey to destroy a powerful ring that threatens the world.
13,The Social Network,Biography Drama,The story of the creation of Facebook and the legal battles that followed.
14,Spirited Away,Animation Fantasy,A young girl becomes trapped in a mysterious world of spirits and must find her way back to the human world.
15,Gladiator,Action Drama,A betrayed Roman general fights his way back to honor and vengeance.
16,The Godfather,Crime Drama,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
17,Schindler's List,Biography Drama,A businessman saves hundreds of Jewish refugees during the Holocaust by employing them in his factories.
18,Forrest Gump,Drama,The extraordinary life story of a simple man with a big heart who unintentionally influences historical events.
19,The Dark Knight Rises,Action Crime Drama,Bruce Wayne returns to face a new adversary and save Gotham City one last time.
20,Dune,Adventure Sci-Fi,The son of a noble family becomes embroiled in a war over the galaxy's most valuable resource on a desert planet.
21,The Prestige,Drama Mystery Sci-Fi,Two rival magicians engage in an obsessive competition with tragic results.
22,Whiplash,Drama Music,A young drummer strives for greatness under the tutelage of a ruthless instructor.
23,Mad Max: Fury Road,Action Adventure Sci-Fi,A woman rebels against a tyrannical ruler in a post-apocalyptic world in search of her homeland.
24,1917,Drama War,Two young British soldiers embark on a dangerous mission to deliver a message that could save thousands of lives.
25,Blade Runner 2049,Drama Sci-Fi,A young blade runner discovers a secret that could unravel society and sets out to find a missing figure from the past.
